"","Gene","Marker_ID","Gene_ID","b1","b1_p","bonf_p","eChr","ePos","Probe","mChr","mPos","strand","dist"
"422443","LY6G6D",294367,13966,-3.367,4.63e-09,0.00417690357,6,31683132,"cg00657529",6,31698687,1,15555
"422479","LY6G6D",294454,13966,-7.934,1.89e-18,1.70504271e-12,6,31683132,"cg20051324",6,31732267,1,49135
"422539","LY6G6D",294239,13966,-5.805,1.1e-10,9.923529e-05,6,31683132,"cg19240857",6,31683109,1,-23
"422549","LY6G6D",293828,13966,-7.856,8.16e-26,7.36145424e-20,6,31683132,"cg23181413",6,31598513,1,-84619
"422609","LY6G6F",294454,13965,-6.185,2.83e-11,2.55305337e-05,6,31674683,"cg20051324",6,31732267,1,57584
"422611","LY6G6F",293888,13965,-7.554,3.89e-10,0.000350932071,6,31674683,"cg12100881",6,31615403,1,-59280
"422703","LY6G6F",293824,13965,-17.742,3.21e-11,2.89586619e-05,6,31674683,"cg10857398",6,31598445,1,-76238
"422738","LY6G6F",293823,13965,-7.337,2.63e-12,2.37262557e-06,6,31674683,"cg12732864",6,31598424,1,-76259
"422809","LY6G6F",294241,13965,-4.411,8.03e-12,7.24417617e-06,6,31674683,"cg20288341",6,31683131,1,8448
"422850","LY6G6F",294238,13965,-2.413,2.15e-08,0.0193959885,6,31674683,"cg08342194",6,31683075,1,8392
"422870","LY6G6F",293778,13965,-6.336,3.87e-08,0.0349127793,6,31674683,"cg04397817",6,31591343,1,-83340
"422876","LY6G6F",294612,13965,-7.79,2.88e-11,2.59816032e-05,6,31674683,"cg25250431",6,31766239,1,91556
"422918","LY6G6F",294240,13965,-3.224,1.3e-08,0.011727807,6,31674683,"cg10189661",6,31683120,1,8437
"423031","LY6G6F",293827,13965,-5.862,5.39e-13,4.86252921e-07,6,31674683,"cg02814864",6,31598504,1,-76179
"423104","LY6G6F",294239,13965,-4.613,5.14e-08,0.0463699446,6,31674683,"cg19240857",6,31683109,1,8426
"423165","LY6G6F",294251,13965,-3.238,6.38e-10,0.000575564682,6,31674683,"cg12868544",6,31687926,1,13243
"423235","LY6G6F",294250,13965,-3.825,5.9e-10,0.00053226201,6,31674683,"cg03755825",6,31687914,1,13231
"423329","LY6G6F",293825,13965,-4.408,2.65e-12,2.39066835e-06,6,31674683,"cg20584712",6,31598451,1,-76232
"423358","LY6G6F",294611,13965,-6.035,1.02e-09,0.00092018178,6,31674683,"cg19958024",6,31766138,1,91455
"423383","LY6G6F",293828,13965,-6.045,9.6e-13,8.6605344e-07,6,31674683,"cg23181413",6,31598513,1,-76170
"423462","LY6G6F",294234,13965,-2.408,1.83e-08,0.0165091437,6,31674683,"cg03926852",6,31681562,1,6879
"424390","LYRM5",79739,3782,-3.094,3.98e-13,3.59051322e-07,12,25348149,"cg03259742",12,25354328,1,6179
"424728","LZIC",5279,113,-15.46,2.51e-10,0.000226436889,1,9989775,"cg02481619",1,10003298,-1,-13523
"424740","LZIC",5266,113,-24.225,4.21e-10,0.000379800519,1,9989775,"cg01576340",1,9970659,-1,19116
"424747","LZIC",5264,113,-40.381,6.89e-11,6.21573771e-05,1,9989775,"cg08893875",1,9970636,-1,19139
"424769","LZIC",5284,113,-19.967,1.92e-10,0.000173210688,1,9989775,"cg06853505",1,10003752,-1,-13977
"424986","LZTS2",47267,2288,-3.479,3.03e-08,0.0273348117,10,102756863,"cg18132852",10,102792581,1,35718
"425022","LZTS2",47266,2288,-3.245,1.05e-08,0.0094724595,10,102756863,"cg06154084",10,102792249,1,35386
"429890","MAP3K10",182061,8550,2.013,5.84e-09,0.00526849176,19,40697650,"cg13351352",19,40751858,1,54208
"430719","MAP4K1",181513,8504,8.01,5.41e-12,4.88057199e-06,19,39078279,"cg17651625",19,39140474,-1,-62195
"431384","MAPK13",299410,14072,-5.896,3.52e-10,0.000317552928,6,36098260,"cg17087669",6,36099123,1,863
"431385","MAPK13",299407,14072,-4.277,1.44e-11,1.29908016e-05,6,36098260,"cg05859264",6,36097692,1,-568
"433124","MARK2",64450,2994,-3.054,2.37e-09,0.00213806943,11,63606399,"cg13139203",11,63581631,1,-24768
"433614","MARVELD2",273189,13092,-4.382,7.74e-09,0.00698255586,5,68710938,"cg22965943",5,68787919,1,76981
"433809","MASP2",5673,126,-12.143,2.75e-20,2.48088225e-14,1,11086579,"cg12888113",1,11107048,-1,-20469
"435528","MBL1P",44445,2140,-7.013,1.69e-08,0.0152461491,10,81679933,"cg24613050",10,81743128,1,63195
"436917","MCEE",197888,9430,7.308,4.41e-09,0.00397843299,2,71336805,"ch.2.1615265F",2,71303421,-1,33384
"437064","MCF2L",102852,4753,-2.581,4.11e-09,0.00370779129,13,113656027,"cg00508965",13,113651326,1,-4701
"437329","MCHR1",230787,11148,-6.054,5.76e-10,0.000519632064,22,41075181,"cg20274430",22,41075992,1,811
"437529","MCM3",301967,14207,-3.995,7.09e-12,6.39616551e-06,6,52128811,"cg17283781",6,52226707,-1,-97896
"437536","MCM3",301966,14207,-2.438,3.67e-08,0.0331085013,6,52128811,"cg14462645",6,52226698,-1,-97887
"437806","MCM7",325467,15074,1.844,5.09e-08,0.0459188751,7,99690350,"cg22420044",7,99691385,-1,-1035
"438767","MDFIC",327408,15182,-2.892,5.54e-09,0.00499785006,7,114562208,"cg06946838",7,114563609,1,1401
"438912","MDM2",85798,4129,-35.549,3.8e-09,0.0034281282,12,69201951,"cg08547457",12,69234219,1,32268
"439979","MED15",227612,10905,-1.576,3.72e-08,0.0335595708,22,20861828,"cg27657537",22,20863762,1,1934
"444179","METTL1",84988,4089,-13.938,2.06e-09,0.00185840634,12,58162350,"cg04819539",12,58167550,-1,-5200
"444277","METTL1",84972,4089,-11.134,1.51e-09,0.00136222989,12,58162350,"cg20372759",12,58162287,-1,63
"444304","METTL1",85038,4089,-22.14,4.2e-09,0.0037889838,12,58162350,"cg10581811",12,58257267,-1,-94917
"444897","METTL7A",82119,3911,-4.296,9.4e-12,8.4801066e-06,12,51318533,"cg16424082",12,51323740,1,5207
"446229","MFSD5",82850,3966,2.278,2.33e-12,2.10198387e-06,12,53645875,"cg19243330",12,53552274,1,-93601
"447029","MGC15885",120454,5532,-2.214,5.4e-08,0.048715506,15,62929370,"cg01254644",15,62937909,-1,-8539
"447042","MGC16025",213901,10204,-14.19,1.63e-08,0.0147048657,2,240115026,"cg19908362",2,240029909,-1,85117
"447045","MGC16025",213900,10204,-18.958,3.83e-08,0.0345519237,2,240115026,"cg06850529",2,240029808,-1,85218
"447053","MGC16025",213913,10204,-18.686,2.04e-08,0.0184036356,2,240115026,"cg10045864",2,240036897,-1,78129
"447103","MGC16025",213951,10204,-4.907,2.68e-08,0.0241773252,2,240115026,"cg08130793",2,240067079,-1,47947
"447107","MGC16025",213953,10204,-24.151,1.59e-09,0.00143440101,2,240115026,"cg03761162",2,240070264,-1,44762
"447155","MGC16025",214001,10204,-5.822,4.2e-08,0.037889838,2,240115026,"cg06142743",2,240116905,-1,-1879
"447159","MGC16025",214005,10204,-5.066,3.62e-09,0.00326574318,2,240115026,"cg20853370",2,240117640,-1,-2614
"448685","MICALL2",313854,14627,-1.865,1.29e-09,0.00116375931,7,1473994,"cg00645755",7,1514031,-1,-40037
"449749","MINK1",145334,6631,-1.199,5.02e-08,0.0452873778,17,4736634,"cg20438687",17,4761644,1,25010
"449850","MIP",84269,4045,-4.712,2.29e-12,2.06589831e-06,12,56843285,"cg19276318",12,56755499,-1,87786
"449861","MIP",84270,4045,-3.392,8.61e-09,0.00776741679,12,56843285,"cg20366458",12,56756561,-1,86724
"449865","MIP",84305,4045,-3.706,1.76e-10,0.000158776464,12,56843285,"cg18151275",12,56873616,-1,-30331
"450105","MKI67",51225,2445,7.55,1.85e-09,0.00166895715,10,129894924,"cg24824686",10,129797777,-1,97147
"450106","MKI67",51226,2445,11.468,8.97e-10,0.000809218683,10,129894924,"cg11659652",10,129797840,-1,97084
"450545","MKRN3",115575,5290,-7.24,1.08e-08,0.0097431012,15,23810453,"cg00215587",15,23810843,1,390
"451992","MLYCD",139599,6479,-3.389,7.69e-13,6.93744891e-07,16,83932729,"cg01800744",16,83981557,1,48828
"451999","MLYCD",139591,6479,-4.903,2.8e-10,0.00025259892,16,83932729,"cg04528720",16,83962037,1,29308
"452025","MLYCD",139602,6479,-2.5,1.72e-08,0.0155167908,16,83932729,"cg07404221",16,83982645,1,49916
"452029","MLYCD",139598,6479,-5.114,1.94e-08,0.0175014966,16,83932729,"cg26931527",16,83979911,1,47182
"452034","MLYCD",139600,6479,-3.748,3.32e-13,2.99510148e-07,16,83932729,"cg06143864",16,83981678,1,48949
"453519","MNT",144512,6586,-1.171,6.94e-10,0.000626084466,17,2287353,"cg16002660",17,2310278,-1,-22925
"453538","MNX1",332833,15420,7.578,5.28e-16,4.76329392e-10,7,156797546,"cg05060949",7,156798581,-1,-1035
"453539","MNX1",332830,15420,5.34,5.2e-15,4.6911228e-09,7,156797546,"cg11631523",7,156797390,-1,156
"453540","MNX1",332827,15420,7.185,1.17e-15,1.05550263e-09,7,156797546,"cg26472133",7,156797104,-1,442
"453541","MNX1",332832,15420,6.301,1.07e-17,9.6528873e-12,7,156797546,"cg25287257",7,156798258,-1,-712
"453542","MNX1",332834,15420,5.382,2.93e-16,2.64326727e-10,7,156797546,"cg00143249",7,156798810,-1,-1264
"453543","MNX1",332829,15420,5.333,4.06e-19,3.66268434e-13,7,156797546,"cg07916589",7,156797346,-1,200
"456836","MPST",229743,11077,-2.155,1.27e-08,0.0114571653,22,37415790,"cg07819160",22,37420328,1,4538
"456876","MPST",229744,11077,-2.127,2.36e-08,0.0212904804,22,37415790,"cg12253469",22,37420454,1,4664
"458115","MRGPRF",67672,3157,-4.957,1.88e-10,0.000169602132,11,68771861,"cg22933847",11,68780136,-1,-8275
"465633","MSH5",294383,13971,-3.224,1.27e-08,0.0114571653,6,31707724,"cg13622821",6,31702915,1,-4809
"465661","MSH5",294382,13971,-1.893,3.38e-08,0.0304922982,6,31707724,"cg12457415",6,31702862,1,-4862
"465794","MSH5",294384,13971,-3.527,4.49e-08,0.0405060411,6,31707724,"cg25588725",6,31703139,1,-4585
"465922","MSH5",294529,13971,2.633,1.16e-08,0.0104648124,6,31707724,"cg02864535",6,31747053,1,39329
"466100","MSH5",294380,13971,-2.946,4.81e-09,0.00433928859,6,31707724,"cg04658027",6,31702774,1,-4950
"466125","MSH5",294526,13971,3.069,4.41e-09,0.00397843299,6,31707724,"cg26643537",6,31747023,1,39299
"466203","MSH5",294379,13971,-2.167,1.12e-08,0.0101039568,6,31707724,"cg16730737",6,31702632,1,-5092
"466383","MSH5",294527,13971,2.226,3.74e-08,0.0337399986,6,31707724,"cg17330295",6,31747026,1,39302
"466415","MSH5",294381,13971,-2.048,7.6e-09,0.0068562564,6,31707724,"cg09887589",6,31702785,1,-4939
"466826","MSRA",336110,15457,-3.352,2.03e-10,0.000183134217,8,9911778,"cg24520755",8,9996632,1,84854
"466906","MST1",238860,11561,14.073,3.04e-14,2.74250256e-08,3,49721379,"cg13996426",3,49756904,-1,-35525
"466907","MST1",238863,11561,10.172,1.98e-13,1.78623522e-07,3,49721379,"cg25755107",3,49757239,-1,-35860
"466908","MST1",238861,11561,9.965,7.5e-14,6.7660425e-08,3,49721379,"cg24722112",3,49757016,-1,-35637
"467112","MT1B",136050,6272,-7.609,4.28e-08,0.0386115492,16,56685810,"cg05554151",16,56700796,1,14986
"467759","MTCH2",62382,2841,-2.101,2.66e-08,0.0239968974,11,47638857,"cg14709817",11,47539488,-1,99369
"469606","MTSS1L",138253,6411,-2.345,3.57e-08,0.0322063623,16,70695106,"cg01778908",16,70759095,-1,-63989
"469994","MUC17",326039,15111,-8.871,2.93e-10,0.000264326727,7,100663363,"cg13906098",7,100663185,1,-178
"470007","MUC2",54996,2518,-7.396,5.43e-08,0.0489861477,11,1074874,"cg24716664",11,1006121,1,-68753
"470010","MUC2",54993,2518,-33.767,1.16e-08,0.0104648124,11,1074874,"cg25622317",11,1002295,1,-72579
"470012","MUC2",55028,2518,-32.799,3.98e-08,0.0359051322,11,1074874,"cg05578029",11,1023946,1,-50928
"470018","MUC2",55024,2518,-12.293,1.67e-10,0.000150657213,11,1074874,"cg12102514",11,1021812,1,-53062
"472629","MYBPHL",19647,855,-6.015,1.8e-09,0.0016238502,1,109834986,"cg26434376",1,109849545,-1,-14559
"472632","MYBPHL",19649,855,-4.583,7.11e-12,6.41420829e-06,1,109834986,"cg08872703",1,109849854,-1,-14868
"472839","MYCBPAP",156187,7275,-3.248,6.67e-14,6.01726713e-08,17,48585744,"cg03168497",17,48586147,1,403
"473125","MYH14",186012,8848,42.979,8.08e-10,0.000728928312,19,50706884,"cg20117799",19,50792536,1,85652
"473136","MYH16",325133,15049,-3.926,1.72e-08,0.0155167908,7,98870923,"cg14606858",7,98871769,1,846
"475310","MYO1B",208119,9931,-2.114,2.69e-08,0.0242675391,2,192110106,"cg12404831",2,192114017,1,3911
"475352","MYO1C",143953,6566,-1.587,9.6e-10,0.00086605344,17,1367479,"cg02723774",17,1378119,-1,-10640
"475388","MYO1C",143965,6566,-2.491,7.32e-10,0.000660365748,17,1367479,"cg02061130",17,1387922,-1,-20443
"475498","MYO1F",174598,8063,3.342,1.09e-08,0.0098333151,19,8585673,"cg22568423",19,8590567,-1,-4894
"475502","MYO1F",174599,8063,4.488,2.53e-11,2.28241167e-05,19,8585673,"cg22987448",19,8591364,-1,-5691
"475529","MYO1F",174562,8063,-6.537,2.53e-09,0.00228241167,19,8585673,"cg15722438",19,8552601,-1,33072
"475539","MYO1F",174602,8063,3.246,7.67e-10,0.000691940613,19,8585673,"cg08283130",19,8591776,-1,-6103
"475542","MYO1F",174600,8063,4.554,1.03e-11,9.2920317e-06,19,8585673,"cg15254671",19,8591513,-1,-5840
"475563","MYO1F",174601,8063,5.519,9.48e-10,0.000855227772,19,8585673,"cg05905531",19,8591721,-1,-6048
"475608","MYO1G",320663,14839,-6.779,1.5e-12,1.3532085e-06,7,45002259,"cg16707506",7,45067057,-1,-64798
"475609","MYO1G",320662,14839,-6.025,7.07e-11,6.37812273e-05,7,45002259,"cg18205668",7,45066895,-1,-64636
"475613","MYO1G",320664,14839,-5.917,2.45e-12,2.21024055e-06,7,45002259,"cg03744842",7,45067319,-1,-65060
"475615","MYO1G",320627,14839,-5.543,4.15e-10,0.000374387685,7,45002259,"cg21188037",7,45018658,-1,-16399
"475616","MYO1G",320629,14839,-7.033,2.24e-13,2.02079136e-07,7,45002259,"cg06787669",7,45018789,-1,-16530
"475619","MYO1G",320659,14839,-6.45,2.68e-13,2.41773252e-07,7,45002259,"cg17349352",7,45066738,-1,-64479
"475621","MYO1G",320661,14839,-7.71,8.35e-12,7.53286065e-06,7,45002259,"cg26433975",7,45066858,-1,-64599
"475622","MYO1G",320630,14839,-7.762,2.11e-15,1.90351329e-09,7,45002259,"cg10673833",7,45018849,-1,-16590
"477022","N4BP3",284291,13663,-7.811,3.54e-08,0.0319357206,5,177540555,"cg12145394",5,177573275,1,32720
"477083","NAA11",259963,12556,-2.584,7.71e-09,0.00695549169,4,80238271,"cg13547474",4,80247281,-1,-9010
"477528","NAA40",64555,2996,-3.8,8.78e-10,0.000792078042,11,63706441,"cg09182533",11,63775071,1,68630
"478360","NADK",1168,43,-2.615,1.17e-08,0.0105550263,1,1682670,"cg09185911",1,1688883,-1,-6213
"478395","NADK",1169,43,-2.417,2.73e-11,2.46283947e-05,1,1682670,"cg25031205",1,1688976,-1,-6306
"478399","NADK",1172,43,-1.418,2.68e-08,0.0241773252,1,1682670,"cg08122070",1,1689610,-1,-6940
"480581","NAT1",336963,15496,2.64,2.3e-08,0.020749197,8,18067611,"cg15138846",8,18067560,1,-51
"480582","NAT1",336964,15496,2.175,3.17e-09,0.00285978063,8,18067611,"cg21172319",8,18067770,1,159
"482451","NCF4",229720,11074,-6.117,2.51e-11,2.26436889e-05,22,37257029,"cg08612539",22,37257124,1,95
"482506","NCK2",201326,9616,-4.912,3.51e-08,0.0316650789,2,106361519,"cg01577187",2,106362832,1,1313
"483484","NCR3",293629,13958,-5.649,2.98e-08,0.0268837422,6,31556659,"cg02402436",6,31540051,-1,16608
"483504","NCS1",354803,16558,-3.833,5.44e-09,0.00490763616,9,132934856,"cg14563790",9,132935542,1,686
"483505","NCS1",354804,16558,-3.735,3.71e-09,0.00334693569,9,132934856,"cg13414629",9,132935646,1,790
"484142","NDRG2",104146,4795,-3.803,1.47e-08,0.0132614433,14,21484921,"cg10078898",14,21491045,-1,-6124
"486197","NDUFC2",69831,3246,-1.554,8.12e-09,0.00732536868,11,77779392,"cg21864730",11,77774886,-1,4506
"486203","NDUFC2",69832,3246,-1.559,1.03e-08,0.0092920317,11,77779392,"cg18338296",11,77775044,-1,4348
"486484","NDUFS4",271954,13035,2.035,3.38e-08,0.0304922982,5,52856464,"cg12472290",5,52841682,1,-14782
"491236","NFE2L3",317897,14731,-4.747,4.1e-09,0.0036987699,7,26191846,"cg21428393",7,26244131,1,52285
"493049","NGEF",212411,10158,12.247,1.35e-08,0.0121788765,2,233743395,"cg07623116",2,233734064,-1,9331
"493050","NGEF",212412,10158,8.097,1.22e-08,0.0110060958,2,233743395,"cg25237894",2,233734115,-1,9280
"494640","NIPAL3",8800,284,-2.193,5.03e-08,0.0453775917,1,24742244,"cg00917251",1,24829987,1,87743
"494681","NIPAL3",8801,284,-3.417,2.56e-09,0.00230947584,1,24742244,"cg16731157",1,24830054,1,87810
"494961","NIT1",25428,1292,-1.119,3.8e-08,0.034281282,1,161087861,"cg00058923",1,161069167,1,-18694
"495121","NIT2",242586,11744,-2.685,7.3e-11,6.5856147e-05,3,100053561,"cg03607485",3,100057581,1,4020
"495171","NKAPL",289747,13883,-3.763,1.68e-10,0.000151559352,6,28227074,"cg18675097",6,28227127,1,53
"495174","NKAPL",289745,13883,-3.157,4.91e-08,0.0442950249,6,28227074,"cg01031101",6,28227091,1,17
"495175","NKAPL",289742,13883,-3.767,4.9e-10,0.00044204811,6,28227074,"cg17384889",6,28227068,1,-6
"495183","NKAPL",289743,13883,-4.13,3.72e-10,0.000335595708,6,28227074,"cg18694169",6,28227079,1,5
"495194","NKAPL",289744,13883,-3.615,8.12e-11,7.32536868e-05,6,28227074,"cg10253847",6,28227085,1,11
"495446","NKIRAS1",235411,11366,-2.287,9.97e-11,8.99432583e-05,3,23933571,"cg21610839",3,23861312,-1,72259
"496002","NKX6-2",52951,2459,-9.016,3.53e-08,0.0318455067,10,134598319,"cg05760937",10,134552168,-1,46151
"496006","NKX6-2",53028,2459,-13.597,5.22e-08,0.0470916558,10,134598319,"cg16832975",10,134593532,-1,4787
"497009","NLRP6",54195,2481,-4.071,5.9e-09,0.0053226201,11,278569,"cg21686213",11,315118,1,36549
"497742","NME7",26466,1365,-1.333,1.55e-08,0.0139831545,1,169101767,"cg24897392",1,169072106,-1,29661
"502855","NPC1L1",320514,14831,-6.352,6.87e-13,6.19769493e-07,7,44552134,"cg06907626",7,44580809,-1,-28675
"503222","NPHP1",201690,9636,-2.997,3.96e-08,0.0357247044,2,110880913,"cg18900271",2,110863886,-1,17027
"503548","NPLOC4",163388,7558,-1.173,2.63e-08,0.0237262557,17,79523910,"cg05348708",17,79520615,-1,3295
"503589","NPLOC4",163389,7558,-1.047,2.63e-08,0.0237262557,17,79523910,"cg27107970",17,79520734,-1,3176
"503784","NPM3",47600,2300,1.971,1.76e-08,0.0158776464,10,103541081,"cg25209842",10,103536342,-1,4739
"505073","NR2C2AP",179010,8326,2.468,5.06e-08,0.0456482334,19,19312219,"cg26470696",19,19383613,-1,-71394
"505157","NR2C2AP",179017,8326,2.524,7.63e-10,0.000688332057,19,19312219,"cg01262667",19,19385393,-1,-73174
"505579","NR2F2",126017,5788,1.44,1.27e-08,0.0114571653,15,96874110,"cg22227345",15,96952113,1,78003
"505580","NR2F2",126018,5788,1.361,2.24e-08,0.0202079136,15,96874110,"cg02598872",15,96952150,1,78040
"505581","NR2F2",126019,5788,1.36,4.58e-08,0.0413179662,15,96874110,"cg04890851",15,96952237,1,78127
"506077","NRAP",49002,2363,-4.249,1.42e-12,1.28103738e-06,10,115348582,"cg26656452",10,115313165,-1,35417
"506081","NRARP",356836,16677,-4.145,1.3e-09,0.0011727807,9,140194082,"cg14513448",9,140192646,-1,1436
"506985","NRM",292494,13929,3.08,3.97e-10,0.000358149183,6,30655823,"cg01449469",6,30644681,-1,11142
"506999","NRM",292491,13929,5.053,1.86e-08,0.0167797854,6,30655823,"cg07939503",6,30644235,-1,11588
"507051","NRM",292817,13929,-3.014,6.45e-10,0.000581879655,6,30655823,"cg03813377",6,30737455,-1,-81632
"507171","NRM",292692,13929,-15.98,5.71e-10,0.000515121369,6,30655823,"cg00091044",6,30689640,-1,-33817
"507207","NRM",292493,13929,3.244,7.03e-10,0.000634203717,6,30655823,"cg03193893",6,30644478,-1,11345
"507345","NRM",292495,13929,3.305,4.36e-11,3.93332604e-05,6,30655823,"cg03353699",6,30644693,-1,11130
"507355","NRM",292496,13929,4.128,5.32e-10,0.000479937948,6,30655823,"cg16161418",6,30644798,-1,11025
"507399","NRM",292816,13929,-2.936,2.62e-10,0.000236360418,6,30655823,"cg25063165",6,30737436,-1,-81613
"507832","NRSN2",215438,10244,5.22,5.05e-08,0.0455580195,20,327369,"cg24966406",20,366345,1,38976
"507860","NRSN2",215430,10244,-6.595,3.68e-09,0.00331987152,20,327369,"cg09160216",20,329016,1,1647
"507881","NRSN2",215427,10244,-3.37,3.35e-10,0.000302216565,20,327369,"cg08713365",20,327623,1,254
"508264","NSMAF",341310,15681,-1.472,2.4e-08,0.021651336,8,59496063,"cg16233036",8,59571055,-1,-74992
"509915","NUAK2",29912,1563,-3.869,1.39e-09,0.00125397321,1,205271190,"cg15512534",1,205271231,-1,-41
"510864","NUDT12",275700,13218,-6.788,3.26e-08,0.0294097314,5,102884555,"cg07666882",5,102898223,-1,-13668
"510867","NUDT12",275703,13218,-4.182,1.11e-08,0.0100137429,5,102884555,"cg09166085",5,102898648,-1,-14093
"513184","NUP62",185934,8841,1.831,2.53e-11,2.28241167e-05,19,50410083,"cg07603484",19,50434179,-1,-24096
"514427","OAF",73782,3470,-4.103,6.05e-10,0.000545794095,11,120081746,"cg25909064",11,120082805,1,1059
"514428","OAF",73783,3470,-7.146,1.71e-08,0.0154265769,11,120081746,"cg00406023",11,120090023,1,8277
"514572","OAT",50643,2426,-2.939,2.62e-08,0.0236360418,10,126085871,"cg27479418",10,126107594,-1,-21723
"514574","OAT",50638,2426,-2.605,7.2e-09,0.0064954008,10,126085871,"cg02693002",10,126106594,-1,-20723
"514578","OAT",50640,2426,-2.62,9.85e-09,0.00888606915,10,126085871,"cg18152871",10,126107471,-1,-21600
"514582","OAT",50642,2426,-2.937,2.87e-08,0.0258913893,10,126085871,"cg03092918",10,126107592,-1,-21721
"514586","OAT",50644,2426,-2.624,7.69e-09,0.00693744891,10,126085871,"cg03468945",10,126107610,-1,-21739
"514590","OAT",50646,2426,-3.819,2.6e-10,0.00023455614,10,126085871,"cg07274998",10,126107781,-1,-21910
"517452","OOEP",302890,14253,-4.145,3.45e-11,3.11237955e-05,6,74078279,"cg06797068",6,74104600,-1,-26321
"517454","OOEP",302891,14253,-4.793,2.79e-11,2.51696781e-05,6,74078279,"cg08124399",6,74104868,-1,-26589
"517455","OOEP",302887,14253,-4.202,7.41e-10,0.000668484999,6,74078279,"cg17188169",6,74104388,-1,-26109
"517456","OOEP",302888,14253,-4.983,8.26e-12,7.45166814e-06,6,74078279,"cg03669949",6,74104426,-1,-26147
"519298","OR1F1",130125,5949,-15.928,4.05e-15,3.65366295e-09,16,3254246,"cg05112582",16,3165457,1,-88789
"519910","OR2B3",290400,13892,-0.91,1.27e-11,1.14571653e-05,6,29053984,"cg01625044",6,28963898,-1,90086
"519996","OR2B3",290468,13892,-1.734,1.09e-10,9.8333151e-05,6,29053984,"cg23187090",6,29003794,-1,50190
"520367","OR2J3",290468,13893,-3.034,4.34e-09,0.00391528326,6,29079586,"cg23187090",6,29003794,1,-75792
"520687","OR2W1",290400,13891,-0.91,1.27e-11,1.14571653e-05,6,29011989,"cg01625044",6,28963898,-1,48091
"520703","OR2W1",290468,13891,-1.734,1.09e-10,9.8333151e-05,6,29011989,"cg23187090",6,29003794,-1,8195
"521106","OR51Q1",57354,2587,-1.395,1.2e-09,0.0010825668,11,5443340,"cg26217318",11,5474584,1,31244
"521225","OR52E4",57430,2605,-0.506,1.29e-08,0.0116375931,11,5905522,"cg03094675",11,5960213,1,54691
"521242","OR52E6",57430,2604,-0.802,1.29e-08,0.0116375931,11,5862185,"cg03094675",11,5960213,-1,-98028
"521275","OR52H1",57379,2593,-3.847,3.71e-13,3.34693569e-07,11,5565790,"cg00294684",11,5602123,-1,-36333
"521941","OR6C70",83772,4008,-0.59,2.67e-11,2.40871113e-05,12,55862983,"cg04011712",12,55863738,-1,-755
"521943","OR6C70",83774,4008,-0.516,9.36e-09,0.00844402104,12,55862983,"cg19537932",12,55886519,-1,-23536
"522203","OR8A1",74413,3489,-2.535,1.42e-09,0.00128103738,11,124439964,"cg03885639",11,124481310,1,41346
"522414","ORAI2",326535,15126,-3.793,9.46e-16,8.53423494e-10,7,102073976,"cg25666919",7,102074615,1,639
"522426","ORAI2",326563,15126,4.294,2.81e-09,0.00253501059,7,102073976,"cg07112456",7,102109247,1,35271
"522608","ORAOV1",67839,3161,-17.911,2e-10,0.0001804278,11,69480331,"cg02104112",11,69418071,-1,62260
"522642","ORAOV1",67919,3161,-20.118,9.64e-13,8.69661996e-07,11,69480331,"cg06416221",11,69481301,-1,-970
"522722","ORAOV1",67918,3161,-37.051,1.17e-08,0.0105550263,11,69480331,"cg01752322",11,69481117,-1,-786
"522737","ORAOV1",67967,3161,-17.249,6.29e-12,5.67445431e-06,11,69480331,"cg13892042",11,69530627,-1,-50296
"522874","ORMDL3",152025,7032,-4.6,1.14e-10,0.000102843846,17,38077295,"cg10909506",17,38081995,-1,-4700
"523493","OSBPL5",56938,2558,27.493,8.33e-09,0.00751481787,11,3108345,"cg25093234",11,3114761,-1,-6416
"523495","OSBPL5",56939,2558,9.35,2.32e-09,0.00209296248,11,3108345,"cg24759599",11,3114884,-1,-6539
"523524","OSBPL5",56980,2558,-7.504,4.89e-10,0.000441145971,11,3108345,"cg12970008",11,3186095,-1,-77750
"523537","OSBPL5",56986,2558,-4.628,1.52e-08,0.0137125128,11,3108345,"cg04092393",11,3186929,-1,-78584
"524072","OSGIN1",139600,6480,-5.584,1.08e-09,0.00097431012,16,83986826,"cg06143864",16,83981678,1,-5148
"524074","OSGIN1",139599,6480,-5.139,5.97e-10,0.000538576983,16,83986826,"cg01800744",16,83981557,1,-5269
"524658","OTP",273987,13140,4.284,6.45e-09,0.00581879655,5,76924536,"cg15852891",5,76934946,-1,-10410
"524665","OTP",273971,13140,4.826,1.62e-10,0.000146146518,5,76924536,"cg21960680",5,76928628,-1,-4092
"525120","OTX1",196714,9376,6.481,7.04e-10,0.000635105856,2,63277936,"cg16595607",2,63279495,1,1559
"525121","OTX1",196715,9376,5.908,3.16e-10,0.000285075924,2,63277936,"cg10271192",2,63279645,1,1709
"525122","OTX1",196716,9376,4.676,6.23e-10,0.000562032597,2,63277936,"cg04276301",2,63279693,1,1757
"525123","OTX1",196725,9376,6.438,5.79e-11,5.22338481e-05,2,63277936,"cg00445405",2,63281844,1,3908
"525124","OTX1",196726,9376,5.759,3.94e-11,3.55442766e-05,2,63277936,"cg00463767",2,63282043,1,4107
"525125","OTX1",196727,9376,6.521,4.58e-10,0.000413179662,2,63277936,"cg04654530",2,63282702,1,4766
"525126","OTX1",196728,9376,7.985,3.71e-11,3.34693569e-05,2,63277936,"cg08473330",2,63282883,1,4947
